ORDEM,MUNICIPIO,NOME_PREFEITO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,LINK_LANDING_PAGE,MENSAGEM_WHATSAPP
113,Campos Novos Paulista,,,R$ 2.613.918,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Campos Novos Paulista,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.613.918* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
114,Cananéia,,,R$ 5.945.020,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cananéia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.945.020* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
115,Canas,,,R$ 4.067.963,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Canas,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.067.963* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
116,Cândido Mota,,,R$ 8.629.431,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cândido Mota,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.629.431* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
117,Cândido Rodrigues,,,R$ 1.205.192,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cândido Rodrigues,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.205.192* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
118,Canitar,,,R$ 4.984.912,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Canitar,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.984.912* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
119,Capão Bonito,,,R$ 24.201.923,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Capão Bonito,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 24.201.923* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
120,Capela do Alto,,,R$ 14.773.178,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Capela do Alto,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 14.773.178* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
121,Capivari,,,R$ 15.303.953,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Capivari,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 15.303.953* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
122,Caraguatatuba,,,R$ 68.176.711,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Caraguatatuba,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 68.176.711* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
123,Carapicuíba,,,R$ 62.476.244,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Carapicuíba,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 62.476.244* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
124,Cardoso,,,R$ 3.314.420,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cardoso,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.314.420* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
125,Casa Branca,,,R$ 5.862.089,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Casa Branca,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.862.089* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
126,Cássia dos Coqueiros,,,R$ 2.356.731,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cássia dos Coqueiros,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.356.731* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
127,Castilho,,,R$ 7.143.079,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Castilho,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 7.143.079* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
128,Catanduva,,,R$ 21.992.801,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Catanduva,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 21.992.801* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
129,Catiguá,,,R$ 2.765.297,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Catiguá,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.765.297* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
130,Cedral,,,R$ 8.002.352,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cedral,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.002.352* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
131,Cerqueira César,,,R$ 8.154.828,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cerqueira César,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.154.828* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
132,Cerquilho,,,R$ 22.265.547,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cerquilho,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 22.265.547* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
133,Cesário Lange,,,R$ 12.955.282,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cesário Lange,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 12.955.282* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
134,Charqueada,,,R$ 5.860.036,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Charqueada,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.860.036* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
135,Chavantes,,,R$ 5.882.546,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Chavantes,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.882.546* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
136,Clementina,,,R$ 2.705.252,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Clementina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.705.252* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
137,Colina,,,R$ 6.865.913,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Colina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 6.865.913* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
138,Colômbia,,,R$ 3.477.599,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Colômbia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.477.599* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
139,Conchal,,,R$ 11.684.742,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Conchal,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 11.684.742* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
140,Conchas,,,R$ 5.944.228,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Conchas,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.944.228* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
141,Cordeirópolis,,,R$ 7.893.048,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cordeirópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 7.893.048* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
142,Coroados,,,R$ 2.581.100,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Coroados,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.581.100* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
143,Coronel Macedo,,,R$ 1.018.850,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Coronel Macedo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.018.850* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
144,Corumbataí,,,R$ 3.265.361,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Corumbataí,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.265.361* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
145,Cosmópolis,,,R$ 28.062.017,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cosmópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 28.062.017* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
146,Cosmorama,,,R$ 4.380.152,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cosmorama,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.380.152* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
147,Cotia,,,R$ 114.530.486,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cotia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 114.530.486* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
148,Cravinhos,,,R$ 11.659.456,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cravinhos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 11.659.456* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
149,Cristais Paulista,,,R$ 5.451.063,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cristais Paulista,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.451.063* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
150,Cruzália,,,R$ 1.042.078,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cruzália,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.042.078* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
151,Cruzeiro,,,R$ 25.634.000,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cruzeiro,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 25.634.000* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
152,Cubatão,,,R$ 47.360.023,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cubatão,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 47.360.023* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
153,Cunha,,,R$ 7.788.811,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Cunha,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 7.788.811* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
154,Descalvado,,,R$ 15.267.188,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Descalvado,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 15.267.188* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
155,Diadema,,,R$ 70.510.131,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Diadema,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 70.510.131* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
156,Dirce Reis,,,R$ 1.130.299,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dirce Reis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.130.299* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
157,Divinolândia,,,R$ 5.720.009,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Divinolândia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.720.009* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
158,Dobrada,,,R$ 1.058.058,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dobrada,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.058.058* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
159,Dois Córregos,,,R$ 11.166.034,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dois Córregos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 11.166.034* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
160,Dolcinópolis,,,R$ 1.725.297,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dolcinópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.725.297* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
161,Dourado,,,R$ 4.819.615,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dourado,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.819.615* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
162,Dracena,,,R$ 10.011.047,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dracena,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 10.011.047* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
163,Duartina,,,R$ 3.628.436,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Duartina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.628.436* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
164,Dumont,,,R$ 4.482.804,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Dumont,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.482.804* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
165,Echaporã,,,R$ 2.567.144,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Echaporã,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.567.144* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
166,Eldorado,,,R$ 6.928.312,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Eldorado,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 6.928.312* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
167,Elias Fausto,,,R$ 8.792.227,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Elias Fausto,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.792.227* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
168,Elisiário,,,R$ 2.233.982,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Elisiário,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.233.982* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
169,Embaúba,,,R$ 1.035.616,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Embaúba,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.035.616* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
170,Embu,,,R$ 79.584.422,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Embu,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 79.584.422* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
171,Embu-Guaçu,,,R$ 16.300.341,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Embu-Guaçu,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 16.300.341* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
172,Emilianópolis,,,R$ 975.664,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Emilianópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 975.664* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
173,Engenheiro Coelho,,,R$ 7.178.896,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Engenheiro Coelho,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 7.178.896* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
174,Espírito Santo do Pinhal,,,R$ 5.290.065,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Espírito Santo do Pinhal,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.290.065* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
175,Espírito Santo do Turvo,,,R$ 1.073.799,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Espírito Santo do Turvo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.073.799* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
176,Estiva Gerbi,,,R$ 3.880.983,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Estiva Gerbi,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.880.983* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
